y_texts,y_pred_probs,y_pred
southwestair youre early frontrunner best airline,[-3.182425  -1.5364244  5.291989 ],2
usairways flt ewr cancelled flightled yet flts nyc usairways still flying,[ 3.7698495 -0.7649798 -3.068239 ],0
jetblue going bdl dca flights yesterday today every single one getting delayed,[ 5.5292516 -2.6567204 -2.7386208],0
jetblue depart washington dc,[-1.6731405  5.2363424 -3.5379908],1
jetblue probably find ticket,[-0.50988793  4.222588   -3.425069  ],1
united still waiting hear back wallet stolen one planes would appreciate resolution,[ 5.1548915 -2.06313   -3.3039227],0
united yes flight rebooked im losing trust want get anywhere time,[ 5.5494494 -3.0482829 -2.4852264],0
jetblue thank paris could arrange something,[-4.1063247  -0.82888085  5.5795517 ],2
united sure however ticket included one checked bag therefore charge extra completely unanticipated,[ 5.4312387 -2.5220194 -2.9228616],0
usairways great crew flight phx yvr tonight friendly efficient awesome job,[-2.2383664 -2.6505878  5.49256  ],2
usairways ive hold change date ticket hours someone please assist unacceptable,[ 5.5386696 -2.577191  -2.9173534],0
southwestair dmd,[ 3.9781706  -0.70687217 -3.2405572 ],0
southwestair already signed thanks looking forward trying southwest experience,[-3.4551299 -1.5078865  5.548078 ],2
southwestair,[-0.17114922  0.729541   -0.32931116],1
usairways oh well ill get cancun eventually,[ 4.0762696 -1.6787435 -2.3279727],0
usairways flight passengers stuck plane philly gangway cant hear pilot,[ 5.3619814 -2.9780505 -2.394098 ],0
americanair already waited hour wanted get home,[ 5.502127  -2.838764  -2.5682027],0
southwestair thanks quick response call daily wait days,[-1.5781748 -2.2155135  4.125793 ],2
jetblue dont enough money parking garage fault im paying mins hrs,[ 5.4195547 -3.0862842 -2.3116124],0
jetblue lgb sunny cal,[-2.820057   5.502995  -2.7763317],1
americanair yvonneokaka get personal response apology crews forgotten load baggage onto flight,[ 5.174355  -1.7666956 -3.4316387],0
jetblue didnt info infuriated way previous rep treated possibly work jetblue rep,[ 5.5340343 -2.7101417 -2.7420661],0
united money sucking airline terrible terrible customer service,[ 5.388393  -3.1286023 -2.2931535],0
americanair btwn gate amp lost diamond earring pls maintenance look,[ 4.8256145 -2.4336464 -2.336336 ],0
usairways kristiesp gate pvd today shes tremendous help tough situation,[-3.0915773 -1.8884453  5.6373496],2
usairways family friends colleagues never fly usair bad weather happens good airlines seem communicate better,[ 4.676127  -1.8247002 -2.8203733],0
jetblue landed thank anyway btw flight staff flight wonderful despite full day heavy load,[-2.1070182 -2.7521417  5.4673657],2
jetblue airbusintheus landing arubaairport february,[-2.7337565  5.5352507 -2.9999719],1
southwestair ahhhh sorry followed,[-3.027261    3.4902134   0.00665667],1
americanair ticket poor gesture goodwill missed trip top status flyer may next time aa lhrord,[ 4.761126  -2.7585933 -2.0236087],0
usairways youve got get weve got excuses,[ 4.681372  -2.77656   -1.8698449],0
jetblue ill pass along advice guys rock,[-2.7373435 -1.9172429  5.2528043],2
virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,[-2.7541096 -2.2956324  5.7671046],2
jetblue haha need apologize 😁 ill flight booking problems sooner late flightr love jetblue,[-3.4002135   0.21656366  3.6746142 ],2
southwestair hold hrs cant get airport flight icy country backroads help pls human answer,[ 5.438862  -2.4780338 -3.08371  ],0
southwestair hours sorry dont get oh well screw weekend az right eat hotel problem,[ 5.2541037 -2.6756957 -2.485379 ],0
united wonder cabin filthy,[ 4.696234  -2.9110966 -1.9112464],0
usairways operate flights without maintenance issues flights inout dca cancelled flighted getting old update fleet pls,[ 3.6282797 -1.3047663 -2.634992 ],0
united im sure business go else airline travel name kathryn sotelo,[ 1.5773588  1.138634  -2.8743074],0
usairways relied us airways mistake awful customer experience,[ 5.381456 -2.791021 -2.599674],0
